run_id,impl,benchmark_name,name,aggregate_name,run_type,repetitions,real_time,cpu_time,time_unit,threads,shards,keys,ops,write_percent,read_percent,skew_mode,reads,writes,baseline_ops_per_sec,dbwaller_ops_per_sec,cycles,instructions,source_file
run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2,baseline,BM_GlobalMutex_Mixed,BM_GlobalMutex_Mixed/1/100000/1000000/0/0/iterations:1/repeats:5/manual_time/threads:2_stddev,stddev,aggregate,5,6019975.1806952115,9850881.238498442,ns,,1,100000,1000000,0,0,0,0,0,1176500.1112255661,,,,/Applications/dev/cplusplus/DBWaller/results/raw/run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2/baseline.json
run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2,baseline,BM_GlobalMutex_Mixed,BM_GlobalMutex_Mixed/1/100000/1000000/0/1/iterations:1/repeats:5/manual_time/threads:4_cv,cv,aggregate,5,0.21185195518990613,0.19121093069796682,ns,,1,100000,1000000,0,0,1,0,0,0.17813193332449967,,,,/Applications/dev/cplusplus/DBWaller/results/raw/run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2/baseline.json
run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2,baseline,BM_GlobalMutex_Mixed,BM_GlobalMutex_Mixed/1/100000/1000000/0/1/iterations:1/repeats:5/manual_time/threads:16_cv,cv,aggregate,5,0.16961059544997178,0.09765182542908168,ns,,1,100000,1000000,0,0,1,0,0,0.13918273206892223,,,,/Applications/dev/cplusplus/DBWaller/results/raw/run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2/baseline.json
run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2,baseline,BM_GlobalMutex_Mixed,BM_GlobalMutex_Mixed/1/100000/1000000/0/1/iterations:1/repeats:5/manual_time/threads:2_cv,cv,aggregate,5,0.025217414633365326,0.025439840212266362,ns,,1,100000,1000000,0,0,1,0,0,0.025481704932411125,,,,/Applications/dev/cplusplus/DBWaller/results/raw/run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2/baseline.json
run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2,baseline,BM_GlobalMutex_Mixed,BM_GlobalMutex_Mixed/1/100000/1000000/0/1/iterations:1/repeats:5/manual_time/threads:1_cv,cv,aggregate,5,0.05667014990339584,0.05542257793403789,ns,,1,100000,1000000,0,0,1,0,0,0.05490527028754692,,,,/Applications/dev/cplusplus/DBWaller/results/raw/run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2/baseline.json
run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2,baseline,BM_GlobalMutex_Mixed,BM_GlobalMutex_Mixed/1/100000/1000000/0/1/iterations:1/repeats:5/manual_time/threads:8_cv,cv,aggregate,5,0.20375483933926825,0.19191732247170395,ns,,1,100000,1000000,0,0,1,0,0,0.21226261782837702,,,,/Applications/dev/cplusplus/DBWaller/results/raw/run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2/baseline.json
run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2,baseline,BM_GlobalMutex_Mixed,BM_GlobalMutex_Mixed/1/100000/1000000/0/1/iterations:1/repeats:5/manual_time/threads:32_cv,cv,aggregate,5,0.1621003531442512,0.11705289329522216,ns,,1,100000,1000000,0,0,1,0,0,0.16083942043283422,,,,/Applications/dev/cplusplus/DBWaller/results/raw/run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2/baseline.json
run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2,baseline,BM_GlobalMutex_Mixed,BM_GlobalMutex_Mixed/1/100000/1000000/0/1/iterations:1/repeats:5/manual_time/threads:4_stddev,stddev,aggregate,5,10387623.927586367,27270569.859969724,ns,,1,100000,1000000,0,0,1,0,0,936173.1398096167,,,,/Applications/dev/cplusplus/DBWaller/results/raw/run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2/baseline.json
run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2,baseline,BM_GlobalMutex_Mixed,BM_GlobalMutex_Mixed/1/100000/1000000/0/1/iterations:1/repeats:5/manual_time/threads:16_stddev,stddev,aggregate,5,2074907.9827856529,11922145.358533336,ns,,1,100000,1000000,0,0,1,0,0,724755.9739051727,,,,/Applications/dev/cplusplus/DBWaller/results/raw/run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2/baseline.json
run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2,baseline,BM_GlobalMutex_Mixed,BM_GlobalMutex_Mixed/1/100000/1000000/0/1/iterations:1/repeats:5/manual_time/threads:2_stddev,stddev,aggregate,5,1191862.855393238,1927027.1923347847,ns,,1,100000,1000000,0,0,1,0,0,269709.37132652185,,,,/Applications/dev/cplusplus/DBWaller/results/raw/run_20260318T070500Z_Ojongs-MacBook-Pro_a061c0e_trial2/baseline.json
